MUN_NAME,scen,seas,tslice,var,value
YELLANDU,RCP45,JJAS,2021-2050,precip,20.191889
YELLANDU,RCP45,JJAS,2021-2050,tmean,1.1893959
YELLANDU,RCP45,JJAS,2021-2050,tmax,1.518826
YELLANDU,RCP45,JJAS,2021-2050,tmin,1.1434674
YELLANDU,RCP45,JJAS,2061-2090,precip,25.225494
YELLANDU,RCP45,JJAS,2061-2090,tmean,1.9003162
YELLANDU,RCP45,JJAS,2061-2090,tmax,1.9215002
YELLANDU,RCP45,JJAS,2061-2090,tmin,1.7570596
YELLANDU,RCP45,ON,2021-2050,precip,43.51047
YELLANDU,RCP45,ON,2021-2050,tmean,1.144105
YELLANDU,RCP45,ON,2021-2050,tmax,1.5274353
YELLANDU,RCP45,ON,2021-2050,tmin,1.1410418
YELLANDU,RCP45,ON,2061-2090,precip,62.437237
YELLANDU,RCP45,ON,2061-2090,tmean,1.831028
YELLANDU,RCP45,ON,2061-2090,tmax,1.6898785
YELLANDU,RCP45,ON,2061-2090,tmin,1.935276
YELLANDU,RCP45,DJF,2021-2050,precip,4.386306
YELLANDU,RCP45,DJF,2021-2050,tmean,1.4251875
YELLANDU,RCP45,DJF,2021-2050,tmax,1.9032198
YELLANDU,RCP45,DJF,2021-2050,tmin,1.5456768
YELLANDU,RCP45,DJF,2061-2090,precip,21.414597
YELLANDU,RCP45,DJF,2061-2090,tmean,2.198581
YELLANDU,RCP45,DJF,2061-2090,tmax,2.159242
YELLANDU,RCP45,DJF,2061-2090,tmin,2.3509128
YELLANDU,RCP45,MAM,2021-2050,precip,47.169838
YELLANDU,RCP45,MAM,2021-2050,tmean,1.5784206
YELLANDU,RCP45,MAM,2021-2050,tmax,1.4867973
YELLANDU,RCP45,MAM,2021-2050,tmin,1.465695
YELLANDU,RCP45,MAM,2061-2090,precip,50.733734
YELLANDU,RCP45,MAM,2061-2090,tmean,2.2753875
YELLANDU,RCP45,MAM,2061-2090,tmax,1.9281336
YELLANDU,RCP45,MAM,2061-2090,tmin,2.2254715
YELLANDU,RCP85,Annual,2021-2050,precip,29.782667
YELLANDU,RCP85,Annual,2021-2050,tmean,1.4752098
YELLANDU,RCP85,Annual,2021-2050,tmax,1.8183743
YELLANDU,RCP85,Annual,2021-2050,tmin,1.5343049
YELLANDU,RCP85,Annual,2061-2090,precip,31.28214
YELLANDU,RCP85,Annual,2061-2090,tmean,3.3857312
YELLANDU,RCP85,Annual,2061-2090,tmax,3.5015485
YELLANDU,RCP85,Annual,2061-2090,tmin,3.5680344
YELLANDU,RCP85,JJAS,2021-2050,precip,20.210627
YELLANDU,RCP85,JJAS,2021-2050,tmean,1.3009763
YELLANDU,RCP85,JJAS,2021-2050,tmax,1.7008829
YELLANDU,RCP85,JJAS,2021-2050,tmin,1.3475962
YELLANDU,RCP85,JJAS,2061-2090,precip,26.112505
YELLANDU,RCP85,JJAS,2061-2090,tmean,3.1343226
YELLANDU,RCP85,JJAS,2061-2090,tmax,3.3457718
YELLANDU,RCP85,JJAS,2061-2090,tmin,3.199615
YELLANDU,RCP85,ON,2021-2050,precip,66.54734
YELLANDU,RCP85,ON,2021-2050,tmean,1.3443937
YELLANDU,RCP85,ON,2021-2050,tmax,1.7672186
YELLANDU,RCP85,ON,2021-2050,tmin,1.416336
YELLANDU,RCP85,ON,2061-2090,precip,79.71831
YELLANDU,RCP85,ON,2061-2090,tmean,3.0169315
YELLANDU,RCP85,ON,2061-2090,tmax,3.1609554
YELLANDU,RCP85,ON,2061-2090,tmin,3.3863316
YELLANDU,RCP85,DJF,2021-2050,precip,17.822912
YELLANDU,RCP85,DJF,2021-2050,tmean,1.4822305
YELLANDU,RCP85,DJF,2021-2050,tmax,2.156247
YELLANDU,RCP85,DJF,2021-2050,tmin,1.7018448
YELLANDU,RCP85,DJF,2061-2090,precip,-0.8526871
YELLANDU,RCP85,DJF,2061-2090,tmean,3.5811481
YELLANDU,RCP85,DJF,2061-2090,tmax,3.9756958
YELLANDU,RCP85,DJF,2061-2090,tmin,3.979763
YELLANDU,RCP85,MAM,2021-2050,precip,29.995361
YELLANDU,RCP85,MAM,2021-2050,tmean,1.7877115
YELLANDU,RCP85,MAM,2021-2050,tmax,1.6712608
YELLANDU,RCP85,MAM,2021-2050,tmin,1.6943556
YELLANDU,RCP85,MAM,2061-2090,precip,38.01904
YELLANDU,RCP85,MAM,2061-2090,tmean,3.771392
YELLANDU,RCP85,MAM,2061-2090,tmax,3.4621658
YELLANDU,RCP85,MAM,2061-2090,tmin,3.7686672
WARANGAL,RCP45,Annual,2021-2050,precip,24.112759
WARANGAL,RCP45,Annual,2021-2050,tmean,1.3754685
WARANGAL,RCP45,Annual,2021-2050,tmax,1.5903645
WARANGAL,RCP45,Annual,2021-2050,tmin,1.3696835
WARANGAL,RCP45,Annual,2061-2090,precip,34.120316
WARANGAL,RCP45,Annual,2061-2090,tmean,2.1094275
WARANGAL,RCP45,Annual,2061-2090,tmax,1.9078269
WARANGAL,RCP45,Annual,2061-2090,tmin,2.108717
WARANGAL,RCP45,JJAS,2021-2050,precip,18.611088
WARANGAL,RCP45,JJAS,2021-2050,tmean,1.2024721
WARANGAL,RCP45,JJAS,2021-2050,tmax,1.5090727
WARANGAL,RCP45,JJAS,2021-2050,tmin,1.1390051
WARANGAL,RCP45,JJAS,2061-2090,precip,25.753407
WARANGAL,RCP45,JJAS,2061-2090,tmean,1.9222907
WARANGAL,RCP45,JJAS,2061-2090,tmax,1.9075624
WARANGAL,RCP45,JJAS,2061-2090,tmin,1.7545079
WARANGAL,RCP45,ON,2021-2050,precip,40.474308
WARANGAL,RCP45,ON,2021-2050,tmean,1.1604056
WARANGAL,RCP45,ON,2021-2050,tmax,1.5343771
WARANGAL,RCP45,ON,2021-2050,tmin,1.2270169
WARANGAL,RCP45,ON,2061-2090,precip,61.580788
WARANGAL,RCP45,ON,2061-2090,tmean,1.850451
WARANGAL,RCP45,ON,2061-2090,tmax,1.5889652
WARANGAL,RCP45,ON,2061-2090,tmin,2.0081522
WARANGAL,RCP45,DJF,2021-2050,precip,1.5900898
WARANGAL,RCP45,DJF,2021-2050,tmean,1.4874022
WARANGAL,RCP45,DJF,2021-2050,tmax,1.9029588
WARANGAL,RCP45,DJF,2021-2050,tmin,1.638929
WARANGAL,RCP45,DJF,2061-2090,precip,11.458384
WARANGAL,RCP45,DJF,2061-2090,tmean,2.2541113
WARANGAL,RCP45,DJF,2061-2090,tmax,2.131398
WARANGAL,RCP45,DJF,2061-2090,tmin,2.4592934
WARANGAL,RCP45,MAM,2021-2050,precip,43.063286
WARANGAL,RCP45,MAM,2021-2050,tmean,1.6375719
WARANGAL,RCP45,MAM,2021-2050,tmax,1.4234838
WARANGAL,RCP45,MAM,2021-2050,tmin,1.50312
WARANGAL,RCP45,MAM,2061-2090,precip,49.631153
WARANGAL,RCP45,MAM,2061-2090,tmean,2.38691
WARANGAL,RCP45,MAM,2061-2090,tmax,1.8971831
WARANGAL,RCP45,MAM,2061-2090,tmin,2.2974625
WARANGAL,RCP85,Annual,2021-2050,precip,27.164234
WARANGAL,RCP85,Annual,2021-2050,tmean,1.5234082
WARANGAL,RCP85,Annual,2021-2050,tmax,1.8014109
WARANGAL,RCP85,Annual,2021-2050,tmin,1.5870731
WARANGAL,RCP85,Annual,2061-2090,precip,31.192726
WARANGAL,RCP85,Annual,2061-2090,tmean,3.4691913
WARANGAL,RCP85,Annual,2061-2090,tmax,3.4765372
WARANGAL,RCP85,Annual,2061-2090,tmin,3.6838195
WARANGAL,RCP85,JJAS,2021-2050,precip,20.111143
WARANGAL,RCP85,JJAS,2021-2050,tmean,1.3370467
WARANGAL,RCP85,JJAS,2021-2050,tmax,1.7092706
WARANGAL,RCP85,JJAS,2021-2050,tmin,1.362465
WARANGAL,RCP85,JJAS,2061-2090,precip,25.325827
WARANGAL,RCP85,JJAS,2061-2090,tmean,3.168414
WARANGAL,RCP85,JJAS,2061-2090,tmax,3.3421507
WARANGAL,RCP85,JJAS,2061-2090,tmin,3.231995
WARANGAL,RCP85,ON,2021-2050,precip,63.73422
WARANGAL,RCP85,ON,2021-2050,tmean,1.348342
WARANGAL,RCP85,ON,2021-2050,tmax,1.7357826
WARANGAL,RCP85,ON,2021-2050,tmin,1.523521
WARANGAL,RCP85,ON,2061-2090,precip,81.1934
WARANGAL,RCP85,ON,2061-2090,tmean,3.0251431
WARANGAL,RCP85,ON,2061-2090,tmax,3.043211
WARANGAL,RCP85,ON,2061-2090,tmin,3.5152535
WARANGAL,RCP85,DJF,2021-2050,precip,9.313052
WARANGAL,RCP85,DJF,2021-2050,tmean,1.5352011
WARANGAL,RCP85,DJF,2021-2050,tmax,2.1495118
WARANGAL,RCP85,DJF,2021-2050,tmin,1.7691494
WARANGAL,RCP85,DJF,2061-2090,precip,-2.4115515
WARANGAL,RCP85,DJF,2061-2090,tmean,3.675612
WARANGAL,RCP85,DJF,2061-2090,tmax,3.990838
WARANGAL,RCP85,DJF,2061-2090,tmin,4.172079
WARANGAL,RCP85,MAM,2021-2050,precip,30.039553
WARANGAL,RCP85,MAM,2021-2050,tmean,1.8768079
WARANGAL,RCP85,MAM,2021-2050,tmax,1.6199162
WARANGAL,RCP85,MAM,2021-2050,tmin,1.7468421
WARANGAL,RCP85,MAM,2061-2090,precip,39.28576
WARANGAL,RCP85,MAM,2061-2090,tmean,3.959839
WARANGAL,RCP85,MAM,2061-2090,tmax,3.4303021
WARANGAL,RCP85,MAM,2061-2090,tmin,3.9103694
SIRICILLA,RCP45,Annual,2021-2050,precip,26.23587
SIRICILLA,RCP45,Annual,2021-2050,tmean,1.4030433
SIRICILLA,RCP45,Annual,2021-2050,tmax,1.5776154
SIRICILLA,RCP45,Annual,2021-2050,tmin,1.3998889
SIRICILLA,RCP45,Annual,2061-2090,precip,36.518623
SIRICILLA,RCP45,Annual,2061-2090,tmean,2.1545985
SIRICILLA,RCP45,Annual,2061-2090,tmax,1.8700166
SIRICILLA,RCP45,Annual,2061-2090,tmin,2.1848338
SIRICILLA,RCP45,JJAS,2021-2050,precip,10.304291
SIRICILLA,RCP45,JJAS,2021-2050,tmean,1.2267351
SIRICILLA,RCP45,JJAS,2021-2050,tmax,1.5065482
SIRICILLA,RCP45,JJAS,2021-2050,tmin,1.1349659
SIRICILLA,RCP45,JJAS,2061-2090,precip,19.92324
SIRICILLA,RCP45,JJAS,2061-2090,tmean,1.9373748
SIRICILLA,RCP45,JJAS,2061-2090,tmax,1.885293
SIRICILLA,RCP45,JJAS,2061-2090,tmin,1.7503285
SIRICILLA,RCP45,ON,2021-2050,precip,42.287575
SIRICILLA,RCP45,ON,2021-2050,tmean,1.1823359
SIRICILLA,RCP45,ON,2021-2050,tmax,1.4931183
SIRICILLA,RCP45,ON,2021-2050,tmin,1.2898803
SIRICILLA,RCP45,ON,2061-2090,precip,65.81862
SIRICILLA,RCP45,ON,2061-2090,tmean,1.9004517
SIRICILLA,RCP45,ON,2061-2090,tmax,1.4798384
SIRICILLA,RCP45,ON,2061-2090,tmin,2.1004105
SIRICILLA,RCP45,DJF,2021-2050,precip,12.463194
SIRICILLA,RCP45,DJF,2021-2050,tmean,1.5365467
SIRICILLA,RCP45,DJF,2021-2050,tmax,1.9214424
SIRICILLA,RCP45,DJF,2021-2050,tmin,1.7087319
SIRICILLA,RCP45,DJF,2061-2090,precip,18.810303
SIRICILLA,RCP45,DJF,2061-2090,tmean,2.3108606
SIRICILLA,RCP45,DJF,2061-2090,tmax,2.1224651
SIRICILLA,RCP45,DJF,2061-2090,tmin,2.5941062
SIRICILLA,RCP45,MAM,2021-2050,precip,50.54951
SIRICILLA,RCP45,MAM,2021-2050,tmean,1.651756
SIRICILLA,RCP45,MAM,2021-2050,tmax,1.3848763
SIRICILLA,RCP45,MAM,2021-2050,tmin,1.5176153
SIRICILLA,RCP45,MAM,2061-2090,precip,56.8208
SIRICILLA,RCP45,MAM,2061-2090,tmean,2.457399
SIRICILLA,RCP45,MAM,2061-2090,tmax,1.8573183
SIRICILLA,RCP45,MAM,2061-2090,tmin,2.4111836
SIRICILLA,RCP85,Annual,2021-2050,precip,28.401651
SIRICILLA,RCP85,Annual,2021-2050,tmean,1.5555987
SIRICILLA,RCP85,Annual,2021-2050,tmax,1.7959152
SIRICILLA,RCP85,Annual,2021-2050,tmin,1.6392941
SIRICILLA,RCP85,Annual,2061-2090,precip,36.398445
SIRICILLA,RCP85,Annual,2061-2090,tmean,3.5389483
