,metric,region,scen,seas,tslice,value
84,CDD,SATHUPALLY,RCP45,ON,2021-2050,-2.0
85,CDD,SATHUPALLY,RCP45,ON,2061-2090,-10.0
86,CDD,SATHUPALLY,RCP45,DJF,2021-2050,-2.0
87,CDD,SATHUPALLY,RCP45,DJF,2061-2090,11.0
88,CDD,SATHUPALLY,RCP45,MAM,2021-2050,-5.0
89,CDD,SATHUPALLY,RCP45,MAM,2061-2090,-9.0
90,CDD,SATHUPALLY,RCP85,Annual,2021-2050,-30.0
91,CDD,SATHUPALLY,RCP85,Annual,2061-2090,-35.0
92,CDD,SATHUPALLY,RCP85,JJAS,2021-2050,0.0
93,CDD,SATHUPALLY,RCP85,JJAS,2061-2090,0.0
94,CDD,SATHUPALLY,RCP85,ON,2021-2050,-8.0
95,CDD,SATHUPALLY,RCP85,ON,2061-2090,-9.0
96,CDD,SATHUPALLY,RCP85,DJF,2021-2050,-9.0
97,CDD,SATHUPALLY,RCP85,DJF,2061-2090,-13.0
98,CDD,SATHUPALLY,RCP85,MAM,2021-2050,-7.0
99,CDD,SATHUPALLY,RCP85,MAM,2061-2090,-12.0
100,CDD,RAMAGUNDEM,RCP45,Annual,2021-2050,-40.0
101,CDD,RAMAGUNDEM,RCP45,Annual,2061-2090,-18.0
102,CDD,RAMAGUNDEM,RCP45,JJAS,2021-2050,0.0
103,CDD,RAMAGUNDEM,RCP45,JJAS,2061-2090,0.0
104,CDD,RAMAGUNDEM,RCP45,ON,2021-2050,-19.0
105,CDD,RAMAGUNDEM,RCP45,ON,2061-2090,-27.0
106,CDD,RAMAGUNDEM,RCP45,DJF,2021-2050,-3.0
107,CDD,RAMAGUNDEM,RCP45,DJF,2061-2090,9.0
108,CDD,RAMAGUNDEM,RCP45,MAM,2021-2050,-17.0
109,CDD,RAMAGUNDEM,RCP45,MAM,2061-2090,-6.0
110,CDD,RAMAGUNDEM,RCP85,Annual,2021-2050,-48.0
111,CDD,RAMAGUNDEM,RCP85,Annual,2061-2090,-38.0
112,CDD,RAMAGUNDEM,RCP85,JJAS,2021-2050,0.0
113,CDD,RAMAGUNDEM,RCP85,JJAS,2061-2090,0.0
114,CDD,RAMAGUNDEM,RCP85,ON,2021-2050,-27.0
115,CDD,RAMAGUNDEM,RCP85,ON,2061-2090,-23.0
116,CDD,RAMAGUNDEM,RCP85,DJF,2021-2050,-4.0
117,CDD,RAMAGUNDEM,RCP85,DJF,2061-2090,-7.0
118,CDD,RAMAGUNDEM,RCP85,MAM,2021-2050,-17.0
119,CDD,RAMAGUNDEM,RCP85,MAM,2061-2090,-12.0
120,CDD,PALWANCHA,RCP45,Annual,2021-2050,-34.5
121,CDD,PALWANCHA,RCP45,Annual,2061-2090,-10.0
122,CDD,PALWANCHA,RCP45,JJAS,2021-2050,0.0
123,CDD,PALWANCHA,RCP45,JJAS,2061-2090,0.0
124,CDD,PALWANCHA,RCP45,ON,2021-2050,-8.0
125,CDD,PALWANCHA,RCP45,ON,2061-2090,-12.0
126,CDD,PALWANCHA,RCP45,DJF,2021-2050,-11.5
127,CDD,PALWANCHA,RCP45,DJF,2061-2090,4.0
128,CDD,PALWANCHA,RCP45,MAM,2021-2050,-11.0
129,CDD,PALWANCHA,RCP45,MAM,2061-2090,-12.0
130,CDD,PALWANCHA,RCP85,Annual,2021-2050,-36.5
131,CDD,PALWANCHA,RCP85,Annual,2061-2090,-44.0
132,CDD,PALWANCHA,RCP85,JJAS,2021-2050,0.0
133,CDD,PALWANCHA,RCP85,JJAS,2061-2090,0.0
134,CDD,PALWANCHA,RCP85,ON,2021-2050,-14.0
135,CDD,PALWANCHA,RCP85,ON,2061-2090,-18.0
136,CDD,PALWANCHA,RCP85,DJF,2021-2050,-11.5
137,CDD,PALWANCHA,RCP85,DJF,2061-2090,-17.0
138,CDD,PALWANCHA,RCP85,MAM,2021-2050,-8.0
139,CDD,PALWANCHA,RCP85,MAM,2061-2090,-10.5
140,CDD,NIRMAL,RCP45,Annual,2021-2050,-17.0
141,CDD,NIRMAL,RCP45,Annual,2061-2090,-11.5
142,CDD,NIRMAL,RCP45,JJAS,2021-2050,0.0
143,CDD,NIRMAL,RCP45,JJAS,2061-2090,0.0
144,CDD,NIRMAL,RCP45,ON,2021-2050,-9.0
145,CDD,NIRMAL,RCP45,ON,2061-2090,-19.5
146,CDD,NIRMAL,RCP45,DJF,2021-2050,2.5
147,CDD,NIRMAL,RCP45,DJF,2061-2090,12.5
148,CDD,NIRMAL,RCP45,MAM,2021-2050,-13.5
149,CDD,NIRMAL,RCP45,MAM,2061-2090,-14.0
150,CDD,NIRMAL,RCP85,Annual,2021-2050,-31.5
151,CDD,NIRMAL,RCP85,Annual,2061-2090,-38.5
152,CDD,NIRMAL,RCP85,JJAS,2021-2050,0.0
153,CDD,NIRMAL,RCP85,JJAS,2061-2090,0.0
154,CDD,NIRMAL,RCP85,ON,2021-2050,-16.0
155,CDD,NIRMAL,RCP85,ON,2061-2090,-23.0
156,CDD,NIRMAL,RCP85,DJF,2021-2050,0.5
157,CDD,NIRMAL,RCP85,DJF,2061-2090,-0.5
158,CDD,NIRMAL,RCP85,MAM,2021-2050,-16.0
159,CDD,NIRMAL,RCP85,MAM,2061-2090,-19.5
160,CDD,METPALLY,RCP45,Annual,2021-2050,-38.25
161,CDD,METPALLY,RCP45,Annual,2061-2090,-23.5
162,CDD,METPALLY,RCP45,JJAS,2021-2050,0.0
163,CDD,METPALLY,RCP45,JJAS,2061-2090,0.0
164,CDD,METPALLY,RCP45,ON,2021-2050,-8.0
165,CDD,METPALLY,RCP45,ON,2061-2090,-17.5
166,CDD,METPALLY,RCP45,DJF,2021-2050,-9.0
167,CDD,METPALLY,RCP45,DJF,2061-2090,2.0
168,CDD,METPALLY,RCP45,MAM,2021-2050,-18.5
169,CDD,METPALLY,RCP45,MAM,2061-2090,-10.25
170,CDD,METPALLY,RCP85,Annual,2021-2050,-42.25
171,CDD,METPALLY,RCP85,Annual,2061-2090,-46.75
172,CDD,METPALLY,RCP85,JJAS,2021-2050,0.0
173,CDD,METPALLY,RCP85,JJAS,2061-2090,0.0
174,CDD,METPALLY,RCP85,ON,2021-2050,-15.75
175,CDD,METPALLY,RCP85,ON,2061-2090,-18.75
176,CDD,METPALLY,RCP85,DJF,2021-2050,-4.0
177,CDD,METPALLY,RCP85,DJF,2061-2090,-7.0
178,CDD,METPALLY,RCP85,MAM,2021-2050,-19.0
179,CDD,METPALLY,RCP85,MAM,2061-2090,-19.0
180,CDD,MANUGURU,RCP45,Annual,2021-2050,-36.5
181,CDD,MANUGURU,RCP45,Annual,2061-2090,-22.0
182,CDD,MANUGURU,RCP45,JJAS,2021-2050,0.0
183,CDD,MANUGURU,RCP45,JJAS,2061-2090,0.0
184,CDD,MANUGURU,RCP45,ON,2021-2050,-15.5
185,CDD,MANUGURU,RCP45,ON,2061-2090,-14.5
186,CDD,MANUGURU,RCP45,DJF,2021-2050,-7.0
187,CDD,MANUGURU,RCP45,DJF,2061-2090,1.5
188,CDD,MANUGURU,RCP45,MAM,2021-2050,-8.0
189,CDD,MANUGURU,RCP45,MAM,2061-2090,-14.5
190,CDD,MANUGURU,RCP85,Annual,2021-2050,-41.0
191,CDD,MANUGURU,RCP85,Annual,2061-2090,-49.5
192,CDD,MANUGURU,RCP85,JJAS,2021-2050,0.0
193,CDD,MANUGURU,RCP85,JJAS,2061-2090,0.0
194,CDD,MANUGURU,RCP85,ON,2021-2050,-22.0
195,CDD,MANUGURU,RCP85,ON,2061-2090,-27.0
196,CDD,MANUGURU,RCP85,DJF,2021-2050,-2.5
197,CDD,MANUGURU,RCP85,DJF,2061-2090,-12.5
198,CDD,MANUGURU,RCP85,MAM,2021-2050,-11.0
199,CDD,MANUGURU,RCP85,MAM,2061-2090,-9.5
200,CDD,MANDAMARRI,RCP45,Annual,2021-2050,-34.0
