,metric,region,scen,tslice,value
97,ecacsu,TANDUR,RCP45,2061-2090,2.6
98,ecacsu,TANDUR,RCP85,2021-2050,0.16666667
99,ecacsu,TANDUR,RCP85,2061-2090,2.1333334
100,ecacsu,SURYAPET,RCP45,2021-2050,1.4666667
101,ecacsu,SURYAPET,RCP45,2061-2090,2.6166666
102,ecacsu,SURYAPET,RCP85,2021-2050,1.6416667
103,ecacsu,SURYAPET,RCP85,2061-2090,2.2666667
104,ecacsu,SIDDIPET,RCP45,2021-2050,0.6111111
105,ecacsu,SIDDIPET,RCP45,2061-2090,2.5444446
106,ecacsu,SIDDIPET,RCP85,2021-2050,0.7555555
107,ecacsu,SIDDIPET,RCP85,2061-2090,2.0333333
108,ecacsu,SADASIVAPET,RCP45,2021-2050,0.1
109,ecacsu,SADASIVAPET,RCP45,2061-2090,2.5666666
110,ecacsu,SADASIVAPET,RCP85,2021-2050,0.06666667
111,ecacsu,SADASIVAPET,RCP85,2061-2090,2.3
112,ecacsu,NIZAMABAD,RCP45,2021-2050,1.2333333
113,ecacsu,NIZAMABAD,RCP45,2061-2090,0.71666664
114,ecacsu,NIZAMABAD,RCP85,2021-2050,1.4
115,ecacsu,NIZAMABAD,RCP85,2061-2090,1.0
116,ecacsu,NARAYANPET,RCP45,2021-2050,0.3
117,ecacsu,NARAYANPET,RCP45,2061-2090,2.5666666
118,ecacsu,NARAYANPET,RCP85,2021-2050,0.33333334
119,ecacsu,NARAYANPET,RCP85,2061-2090,2.2666667
120,ecacsu,NALGONDA,RCP45,2021-2050,0.96666664
121,ecacsu,NALGONDA,RCP45,2061-2090,2.6833334
122,ecacsu,NALGONDA,RCP85,2021-2050,1.0833334
123,ecacsu,NALGONDA,RCP85,2061-2090,2.6
124,ecacsu,MIRYALAGUDA,RCP45,2021-2050,1.5666667
125,ecacsu,MIRYALAGUDA,RCP45,2061-2090,2.5666666
126,ecacsu,MIRYALAGUDA,RCP85,2021-2050,1.6333333
127,ecacsu,MIRYALAGUDA,RCP85,2061-2090,2.2166667
128,ecacsu,MEDAK,RCP45,2021-2050,0.53333336
129,ecacsu,MEDAK,RCP45,2061-2090,2.6666667
130,ecacsu,MEDAK,RCP85,2021-2050,0.46666667
131,ecacsu,MEDAK,RCP85,2061-2090,2.0
132,ecacsu,MAHABOOBNAGAR,RCP45,2021-2050,0.033333335
133,ecacsu,MAHABOOBNAGAR,RCP45,2061-2090,2.4333334
134,ecacsu,MAHABOOBNAGAR,RCP85,2021-2050,0.06666667
135,ecacsu,MAHABOOBNAGAR,RCP85,2061-2090,2.6666667
136,ecacsu,KAMAREDDY,RCP45,2021-2050,1.0333333
137,ecacsu,KAMAREDDY,RCP45,2061-2090,2.1
138,ecacsu,KAMAREDDY,RCP85,2021-2050,1.4333333
139,ecacsu,KAMAREDDY,RCP85,2061-2090,1.6666666
140,ecacsu,GADWAL,RCP45,2021-2050,0.53333336
141,ecacsu,GADWAL,RCP45,2061-2090,2.6666667
142,ecacsu,GADWAL,RCP85,2021-2050,0.56666666
143,ecacsu,GADWAL,RCP85,2061-2090,2.2333333
144,ecacsu,BODHAN,RCP45,2021-2050,1.3
145,ecacsu,BODHAN,RCP45,2061-2090,0.76666665
146,ecacsu,BODHAN,RCP85,2021-2050,1.4
147,ecacsu,BODHAN,RCP85,2061-2090,0.93333334
148,hotdays,ARMOOR,RCP45,2021-2050,20.733334
149,hotdays,ARMOOR,RCP45,2061-2090,52.766666
150,hotdays,ARMOOR,RCP85,2021-2050,25.233334
151,hotdays,ARMOOR,RCP85,2061-2090,74.066666
152,hotdays,YELLANDU,RCP45,2021-2050,18.4
153,hotdays,YELLANDU,RCP45,2061-2090,51.7
154,hotdays,YELLANDU,RCP85,2021-2050,21.6
155,hotdays,YELLANDU,RCP85,2061-2090,76.933334
156,hotdays,WARANGAL,RCP45,2021-2050,14.016666
157,hotdays,WARANGAL,RCP45,2061-2090,51.13333
158,hotdays,WARANGAL,RCP85,2021-2050,16.5
159,hotdays,WARANGAL,RCP85,2061-2090,75.14167
160,hotdays,SIRICILLA,RCP45,2021-2050,14.216667
161,hotdays,SIRICILLA,RCP45,2061-2090,53.76667
162,hotdays,SIRICILLA,RCP85,2021-2050,17.0
163,hotdays,SIRICILLA,RCP85,2061-2090,75.91667
164,hotdays,SATHUPALLY,RCP45,2021-2050,15.033334
165,hotdays,SATHUPALLY,RCP45,2061-2090,48.3
166,hotdays,SATHUPALLY,RCP85,2021-2050,17.1
167,hotdays,SATHUPALLY,RCP85,2061-2090,75.166664
168,hotdays,RAMAGUNDEM,RCP45,2021-2050,27.1
169,hotdays,RAMAGUNDEM,RCP45,2061-2090,49.9
170,hotdays,RAMAGUNDEM,RCP85,2021-2050,31.7
171,hotdays,RAMAGUNDEM,RCP85,2061-2090,72.566666
172,hotdays,PALWANCHA,RCP45,2021-2050,19.683334
173,hotdays,PALWANCHA,RCP45,2061-2090,51.616665
174,hotdays,PALWANCHA,RCP85,2021-2050,23.15
175,hotdays,PALWANCHA,RCP85,2061-2090,77.850006
176,hotdays,NIRMAL,RCP45,2021-2050,23.35
177,hotdays,NIRMAL,RCP45,2061-2090,51.0
178,hotdays,NIRMAL,RCP85,2021-2050,27.1
179,hotdays,NIRMAL,RCP85,2061-2090,72.583336
180,hotdays,METPALLY,RCP45,2021-2050,23.733334
181,hotdays,METPALLY,RCP45,2061-2090,51.875
182,hotdays,METPALLY,RCP85,2021-2050,27.666666
183,hotdays,METPALLY,RCP85,2061-2090,73.9
184,hotdays,MANUGURU,RCP45,2021-2050,24.4
185,hotdays,MANUGURU,RCP45,2061-2090,51.666664
186,hotdays,MANUGURU,RCP85,2021-2050,28.466667
187,hotdays,MANUGURU,RCP85,2061-2090,78.03333
188,hotdays,MANDAMARRI,RCP45,2021-2050,27.466667
189,hotdays,MANDAMARRI,RCP45,2061-2090,47.466667
190,hotdays,MANDAMARRI,RCP85,2021-2050,32.066666
191,hotdays,MANDAMARRI,RCP85,2061-2090,69.666664
192,hotdays,MANCHERIAL,RCP45,2021-2050,27.283333
193,hotdays,MANCHERIAL,RCP45,2061-2090,48.683334
194,hotdays,MANCHERIAL,RCP85,2021-2050,31.883333
